iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
8,0,3,-8.990,511,297,44.000,35.500,467.000,261.500,1.600,0.400,0.1000,124.836700
8,0,4,-8.784,478,309,44.000,35.500,434.000,273.500,1.800,0.200,0.1000,106.949692
8,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,1.200,0.800,0.1000,97.297142
8,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.400,0.600,0.1000,734.593201
8,1,3,-13.538,553,586,44.000,35.500,509.000,550.500,1.200,0.600,0.1000,465.347809
8,1,4,-13.820,589,577,44.000,35.500,545.000,541.500,1.000,0.600,0.1000,329.039001
9,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,0.800,1.200,0.1000,141.938232
9,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,0.600,1.400,0.1000,137.753662
9,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,0.400,1.600,0.1000,142.014816
9,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,0.200,1.800,0.1000,259.515259
9,1,1,-14.504,648,578,44.000,35.500,604.000,542.500,0.800,1.200,0.1000,276.631714
9,1,2,-14.020,614,571,44.000,35.500,570.000,535.500,0.600,1.400,0.1000,178.300125
9,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,0.400,1.600,0.1000,188.051147
9,1,4,-13.877,594,577,44.000,35.500,550.000,541.500,0.200,1.800,0.1000,152.808685
10,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,1.000,0.1000,192.368759
10,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.000,1.000,0.1000,130.312149
10,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,1.000,1.000,0.1000,80.572052
10,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,1.000,1.000,0.1000,71.416161
10,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,0.800,1.000,0.1000,90.510201
10,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,0.800,0.800,0.1000,248.403076
10,1,3,-13.580,553,589,44.000,35.500,509.000,553.500,0.600,0.600,0.1000,199.664886
10,1,4,-13.834,589,578,44.000,35.500,545.000,542.500,0.400,0.800,0.1000,120.603424
11,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,1.200,0.1000,87.203201
11,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,0.800,1.400,0.1000,213.419403
11,0,3,-8.976,511,296,44.000,35.500,467.000,260.500,1.000,1.200,0.1000,186.176193
11,0,4,-8.744,477,307,44.000,35.500,433.000,271.500,1.000,1.000,0.1000,177.462936
11,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,1.200,1.000,0.1000,378.028961
11,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.000,1.000,0.1000,329.462585
11,1,3,-13.580,553,589,44.000,35.500,509.000,553.500,1.000,1.200,0.1000,107.823242
11,1,4,-13.891,594,578,44.000,35.500,550.000,542.500,1.000,1.400,0.1000,86.232437
12,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,1.200,0.1000,120.268501
12,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,0.800,1.200,0.1000,95.508202
12,0,3,-8.976,511,296,44.000,35.500,467.000,260.500,0.600,1.200,0.1000,118.784897
12,0,4,-8.744,477,307,44.000,35.500,433.000,271.500,0.400,1.200,0.1000,257.923187
12,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,0.800,1.000,0.1000,85.078476
12,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,0.800,1.200,0.1000,86.678772
12,1,3,-13.580,553,589,44.000,35.500,509.000,553.500,0.800,1.400,0.1000,76.987366
12,1,4,-13.877,594,577,44.000,35.500,550.000,541.500,0.800,1.600,0.1000,88.527313
13,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.200,1.200,0.1000,178.012451
13,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.000,1.000,0.1000,105.856277
13,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,0.800,0.800,0.1000,62.850967
13,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,1.000,0.800,0.1000,96.773338
