iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
1,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.000,1.000,1.0000,
1,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.200,1.200,1.0000,
1,0,3,-142974.625,511,296,44.000,35.500,467.000,260.500,1.000,1.200,1.0000,
1,0,4,-130600.625,477,307,44.000,35.500,433.000,271.500,1.000,1.200,1.0000,
1,1,1,-329019.125,648,577,44.000,35.500,604.000,541.500,1.000,0.800,1.0000,
1,1,2,-305295.125,614,570,44.000,35.500,570.000,534.500,1.200,0.800,1.0000,
1,1,3,-281065.625,553,586,44.000,35.500,509.000,550.500,1.400,0.600,1.0000,
1,1,4,-295123.625,589,577,44.000,35.500,545.000,541.500,1.600,0.600,1.0000,
