iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
1,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.000,0.800,1.0000,
1,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,0.800,1.000,1.0000,
1,0,3,-142974.625,511,296,44.000,35.500,467.000,260.500,1.000,1.200,1.0000,
1,0,4,-130600.625,477,307,44.000,35.500,433.000,271.500,1.200,1.200,1.0000,
1,1,1,-262515.625,589,513,44.000,35.500,545.000,477.500,1.000,0.800,1.0000,
1,1,2,-1598.125,0,0,44.000,35.500,-44.000,-35.500,1.000,0.800,1.0000,
1,1,3,-1598.125,0,0,44.000,35.500,-44.000,-35.500,1.000,0.600,1.0000,
1,1,4,-1598.125,0,0,44.000,35.500,-44.000,-35.500,1.200,0.400,1.0000,
2,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.200,1.200,0.7000,
2,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.200,1.000,0.7000,
2,0,3,-142714.625,511,295,44.000,35.500,467.000,259.500,1.200,1.000,0.7000,
2,0,4,-130872.625,477,308,44.000,35.500,433.000,272.500,1.400,1.000,0.7000,
2,1,1,-329019.125,648,577,44.000,35.500,604.000,541.500,1.200,1.000,0.7000,
2,1,2,-305295.125,614,570,44.000,35.500,570.000,534.500,1.200,1.000,0.7000,
2,1,3,-282168.625,553,588,44.000,35.500,509.000,552.500,1.200,1.000,0.7000,
2,1,4,-296752.625,589,580,44.000,35.500,545.000,544.500,1.200,1.000,0.7000,
3,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.000,1.000,0.4900,
3,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.000,1.000,0.4900,
3,0,3,-142714.625,511,295,44.000,35.500,467.000,259.500,1.000,1.000,0.4900,
3,0,4,-130872.625,477,308,44.000,35.500,433.000,272.500,1.000,1.000,0.4900,
3,1,1,-329019.125,648,577,44.000,35.500,604.000,541.500,1.000,1.000,0.4900,
3,1,2,-305295.125,614,570,44.000,35.500,570.000,534.500,1.000,1.000,0.4900,
3,1,3,-282168.625,553,588,44.000,35.500,509.000,552.500,1.000,1.000,0.4900,
3,1,4,-296752.625,589,580,44.000,35.500,545.000,544.500,1.000,1.000,0.4900,
