iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
1,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.200,1.000,1.0000,
1,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.000,0.800,1.0000,
1,0,3,-142714.625,511,295,44.000,35.500,467.000,259.500,1.200,0.800,1.0000,
1,0,4,-130872.625,477,308,44.000,35.500,433.000,272.500,1.200,1.000,1.0000,
1,1,1,-329019.125,648,577,44.000,35.500,604.000,541.500,1.000,0.800,1.0000,
1,1,2,-305295.125,614,570,44.000,35.500,570.000,534.500,0.800,0.600,1.0000,
1,1,3,-281065.625,553,586,44.000,35.500,509.000,550.500,1.000,0.600,1.0000,
1,1,4,-295123.625,589,577,44.000,35.500,545.000,541.500,1.000,0.800,1.0000,
2,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.200,0.800,0.7000,
2,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.200,1.000,0.7000,
2,0,3,-142974.625,511,296,44.000,35.500,467.000,260.500,1.200,1.200,0.7000,
2,0,4,-130600.625,477,307,44.000,35.500,433.000,271.500,1.400,1.000,0.7000,
2,1,1,-329561.125,648,578,44.000,35.500,604.000,542.500,0.800,1.200,0.7000,
2,1,2,-305830.125,614,571,44.000,35.500,570.000,535.500,0.600,1.400,0.7000,
2,1,3,-282168.625,553,588,44.000,35.500,509.000,552.500,0.800,1.400,0.7000,
2,1,4,-297861.125,594,577,44.000,35.500,550.000,541.500,0.600,1.400,0.7000,
3,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.000,1.200,0.4900,
3,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.000,1.400,0.4900,
3,0,3,-142714.625,511,295,44.000,35.500,467.000,259.500,1.000,1.600,0.4900,
3,0,4,-130872.625,477,308,44.000,35.500,433.000,272.500,1.200,1.600,0.4900,
3,1,1,-329019.125,648,577,44.000,35.500,604.000,541.500,1.200,1.000,0.4900,
3,1,2,-305295.125,614,570,44.000,35.500,570.000,534.500,1.000,1.200,0.4900,
3,1,3,-282721.625,553,589,44.000,35.500,509.000,553.500,1.200,1.200,0.4900,
3,1,4,-298403.125,594,578,44.000,35.500,550.000,542.500,1.400,1.400,0.4900,
4,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.000,1.200,0.3430,
4,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.000,1.400,0.3430,
4,0,3,-142714.625,511,295,44.000,35.500,467.000,259.500,1.000,1.600,0.3430,
4,0,4,-130872.625,477,308,44.000,35.500,433.000,272.500,1.200,1.400,0.3430,
4,1,1,-329019.125,648,577,44.000,35.500,604.000,541.500,1.200,1.000,0.3430,
4,1,2,-305295.125,614,570,44.000,35.500,570.000,534.500,1.400,1.000,0.3430,
4,1,3,-282168.625,553,588,44.000,35.500,509.000,552.500,1.600,1.000,0.3430,
4,1,4,-296752.625,589,580,44.000,35.500,545.000,544.500,1.800,1.000,0.3430,54599237632.000000
5,0,1,-127166.125,474,299,44.000,35.500,430.000,263.500,1.000,1.000,0.2401,51705737216.000000
5,0,2,-117658.125,446,307,44.000,35.500,402.000,271.500,1.000,1.200,0.2401,50233901056.000000
5,0,3,-142974.625,511,296,44.000,35.500,467.000,260.500,1.000,1.200,0.2401,50367488000.000000
5,0,4,-130600.625,477,307,44.000,35.500,433.000,271.500,1.000,1.200,0.2401,50725310464.000000
5,1,1,-329019.125,648,577,44.000,35.500,604.000,541.500,1.000,1.000,0.2401,53013311488.000000
5,1,2,-305295.125,614,570,44.000,35.500,570.000,534.500,1.000,1.200,0.2401,54732562432.000000
5,1,3,-282721.625,553,589,44.000,35.500,509.000,553.500,1.200,1.200,0.2401,50196746240.000000
5,1,4,-298403.125,594,578,44.000,35.500,550.000,542.500,1.200,1.200,0.2401,52946214912.000000
