iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
1,0,1,-0.114,44,31,49.000,35.500,-5.000,-4.500,1.000,0.800,1.0000,
1,0,2,-0.027,47,36,49.000,35.500,-2.000,0.500,0.800,0.800,1.0000,
1,0,3,-0.027,51,35,49.000,35.500,2.000,-0.500,0.600,0.600,1.0000,
1,0,4,-0.007,49,36,49.000,35.500,0.000,0.500,0.800,0.400,1.0000,
1,1,1,-0.170,81,64,108.500,70.000,-27.500,-6.000,0.800,1.200,1.0000,
1,1,2,-0.104,89,68,108.500,70.000,-19.500,-2.000,0.800,1.000,1.0000,
1,1,3,-0.207,90,53,108.500,70.000,-18.500,-17.000,1.000,0.800,1.0000,
1,1,4,-0.291,98,36,108.500,70.000,-10.500,-34.000,1.000,0.600,1.0000,
1,2,1,-0.182,84,54,114.000,60.000,-30.000,-6.000,1.000,1.000,1.0000,
1,2,2,-0.074,99,59,114.000,60.000,-15.000,-1.000,1.000,1.200,1.0000,
1,2,3,-0.154,96,51,114.000,60.000,-18.000,-9.000,1.000,1.200,1.0000,
1,2,4,-0.396,96,22,114.000,60.000,-18.000,-38.000,1.200,1.000,1.0000,
2,0,1,-0.114,44,31,49.000,35.500,-5.000,-4.500,0.800,1.200,0.7000,
2,0,2,-0.027,47,36,49.000,35.500,-2.000,0.500,0.600,1.000,0.7000,
2,0,3,-0.027,51,35,49.000,35.500,2.000,-0.500,0.600,1.200,0.7000,
2,0,4,-0.007,49,36,49.000,35.500,0.000,0.500,0.800,1.200,0.7000,
2,1,1,-0.170,81,64,108.500,70.000,-27.500,-6.000,1.200,1.000,0.7000,
2,1,2,-0.104,89,68,108.500,70.000,-19.500,-2.000,1.200,0.800,0.7000,
2,1,3,-0.207,90,53,108.500,70.000,-18.500,-17.000,1.200,1.000,0.7000,
2,1,4,-0.291,98,36,108.500,70.000,-10.500,-34.000,1.200,0.800,0.7000,
2,2,1,-0.182,84,54,114.000,60.000,-30.000,-6.000,1.000,0.800,0.7000,
2,2,2,-0.074,99,59,114.000,60.000,-15.000,-1.000,0.800,0.800,0.7000,
2,2,3,-0.154,96,51,114.000,60.000,-18.000,-9.000,0.800,0.600,0.7000,
2,2,4,-0.396,96,22,114.000,60.000,-18.000,-38.000,1.000,0.800,0.7000,
